ID	x
ENSMUSG00000027248.13|Pdia3	1
ENSMUSG00000074884.12|Serf2	2
ENSMUSG00000033411.16|Ctdspl2	1
ENSMUSG00000027236.8|Eif3j1	1
ENSMUSG00000027203.15|Dut	1
ENSMUSG00000091337.3|Eid1	1
ENSMUSG00000023330.12|Dtwd1	1
ENSMUSG00000027359.16|Slc27a2	1
ENSMUSG00000027364.14|Usp50	1
ENSMUSG00000034850.15|Tmem127	3
ENSMUSG00000027367.16|Stard7	1
ENSMUSG00000027381.16|Bcl2l11	2
ENSMUSG00000014361.5|Mertk	1
ENSMUSG00000014353.14|Tmem87b	3
ENSMUSG00000042851.17|Zc3h6	1
ENSMUSG00000090248.1|Gm14027	2
ENSMUSG00000027394.13|Ttl	1
ENSMUSG00000027395.15|Polr1b	2
ENSMUSG00000037938.4|Chchd5	2
ENSMUSG00000087528.1|9830144P21Rik	1
ENSMUSG00000037902.18|Sirpa	1
ENSMUSG00000037885.18|Stk35	1
ENSMUSG00000027406.12|Idh3b	1
ENSMUSG00000053552.14|Ebf4	1
ENSMUSG00000037740.8|Mrps26	1
ENSMUSG00000027312.14|Atrn	1
ENSMUSG00000027330.16|Cdc25b	1
ENSMUSG00000068264.11|Ap5s1	1
ENSMUSG00000037523.13|Mavs	1
ENSMUSG00000037514.17|Pank2	2
ENSMUSG00000087377.1|AV099323	1
ENSMUSG00000058793.14|Cds2	1
ENSMUSG00000044991.10|Shld1	1
ENSMUSG00000027357.16|Crls1	1
ENSMUSG00000039943.16|Plcb4	1
ENSMUSG00000027281.16|Slx4ip	2
ENSMUSG00000062098.11|Btbd3	1
ENSMUSG00000068205.14|Macrod2	1
ENSMUSG00000027424.11|Mgme1	3
ENSMUSG00000098387.2|Pet117	2
ENSMUSG00000027425.18|Kat14	2
ENSMUSG00000027427.13|Polr3f	1
ENSMUSG00000074754.4|Smim26	1
ENSMUSG00000027430.12|Dtd1	1
ENSMUSG00000068154.5|Insm1	1
ENSMUSG00000074749.10|Kiz	1
ENSMUSG00000036992.10|Nxt1	1
ENSMUSG00000027439.9|Gzf1	2
ENSMUSG00000079009.8|Gm14139	1
ENSMUSG00000060336.6|Zfp937	3
ENSMUSG00000079008.2|Gm14124	1
ENSMUSG00000095315.2|Gm10130	1
ENSMUSG00000033059.7|Pygb	1
ENSMUSG00000027454.10|Gins1	1
ENSMUSG00000027455.16|Nsfl1c	2
ENSMUSG00000027463.14|Slc52a3	2
ENSMUSG00000032802.8|Srxn1	4
ENSMUSG00000068079.5|Tcf15	1
ENSMUSG00000027465.13|Tbc1d20	1
ENSMUSG00000042814.8|Mcts2	1
ENSMUSG00000042745.9|Id1	2
ENSMUSG00000027469.16|Tpx2	2
ENSMUSG00000027474.13|Ccm2l	1
ENSMUSG00000003283.14|Hck	1
ENSMUSG00000068040.10|Tm9sf4	2
ENSMUSG00000046020.13|Pofut1	4
ENSMUSG00000027475.9|Kif3b	4
ENSMUSG00000042548.14|Asxl1	6
ENSMUSG00000027479.14|Mapre1	1
ENSMUSG00000038533.15|Cbfa2t2	3
ENSMUSG00000059842.12|Zfp341	1
ENSMUSG00000038467.15|Chmp4b	1
ENSMUSG00000047459.14|Dynlrb1	1
ENSMUSG00000074652.3|Myh7b	1
ENSMUSG00000074646.10|6430550D23Rik	4
ENSMUSG00000038116.16|Phf20	3
ENSMUSG00000027624.19|Epb41l1	3
ENSMUSG00000027628.10|Aar2	3
ENSMUSG00000061689.15|Dlgap4	2
ENSMUSG00000027646.15|Src	1
ENSMUSG00000067786.16|Nnat	1
ENSMUSG00000100860.1|2010009K17Rik	1
ENSMUSG00000044349.15|Snhg11	1
ENSMUSG00000027652.15|Ralgapb	1
ENSMUSG00000037761.16|Actr5	1
ENSMUSG00000027654.2|Fam83d	2
ENSMUSG00000070544.6|Top1	3
ENSMUSG00000035877.17|Zhx3	2
ENSMUSG00000027412.12|Lpin3	1
ENSMUSG00000017868.16|Sgk2	3
ENSMUSG00000017858.12|Ift52	1
ENSMUSG00000017861.11|Mybl2	1
ENSMUSG00000017679.16|Ttpal	2
ENSMUSG00000018326.9|Ywhab	1
ENSMUSG00000054582.4|Pabpc1l	1
ENSMUSG00000018209.15|Stk4	2
ENSMUSG00000090996.1|Gm20458	1
ENSMUSG00000050373.13|Snx21	2
ENSMUSG00000045822.4|Zswim3	3
ENSMUSG00000017764.2|Zswim1	3
ENSMUSG00000017767.3|Spata25	1
ENSMUSG00000017754.13|Pltp	1
ENSMUSG00000039849.5|Pcif1	1
ENSMUSG00000039834.17|Zfp335	1
ENSMUSG00000017737.2|Mmp9	1
ENSMUSG00000027678.17|Ncoa3	2
ENSMUSG00000042854.9|Trp53rkb	1
ENSMUSG00000074582.10|Arfgef2	1
ENSMUSG00000002718.14|Cse1l	1
ENSMUSG00000056501.3|Cebpb	1
ENSMUSG00000027540.13|Ptpn1	2
ENSMUSG00000044641.7|Pard6b	1
ENSMUSG00000074576.4|Mocs3	1
ENSMUSG00000027498.14|Cstf1	1
ENSMUSG00000087633.1|Gm14455	2
ENSMUSG00000027502.11|Rtf2	1
ENSMUSG00000028640.11|Tfap2c	2
ENSMUSG00000087442.1|Gm14453	1
ENSMUSG00000027519.10|Rab22a	1
ENSMUSG00000027522.15|Stx16	1
ENSMUSG00000094786.1|Gm14403	1
ENSMUSG00000070476.10|Fam217b	3
ENSMUSG00000000305.12|Cdh4	1
ENSMUSG00000039069.19|Mtg2	1
ENSMUSG00000039050.8|Osbpl2	1
ENSMUSG00000038963.15|Slco4a1	2
ENSMUSG00000027569.15|Mrgbp	2
ENSMUSG00000049401.10|Ogfr	1
ENSMUSG00000027570.15|Col9a3	1
ENSMUSG00000027573.11|Gid8	1
ENSMUSG00000023393.15|Slc17a9	2
ENSMUSG00000027575.19|Arfgap1	2
ENSMUSG00000016344.14|Ppdpf	1
ENSMUSG00000038685.18|Rtel1	1
ENSMUSG00000027582.16|Zgpat	1
ENSMUSG00000090077.9|Lime1	1
ENSMUSG00000000827.18|Tpd52l2	1
ENSMUSG00000027589.14|Pcmtd2	1
ENSMUSG00000017412.15|Cacnb4	1
ENSMUSG00000070730.11|Rmdn3	1
ENSMUSG00000085741.8|5430405H02Rik	1
ENSMUSG00000103921.1|Gm5841	1
ENSMUSG00000027500.10|Stmn2	1
ENSMUSG00000069114.8|Zbtb10	4
ENSMUSG00000027536.6|Chmp4c	1
ENSMUSG00000027550.14|Lrrcc1	1
ENSMUSG00000027555.8|Car13	1
ENSMUSG00000047213.14|Ythdf3	1
ENSMUSG00000082896.1|Gm5844	1
ENSMUSG00000048106.6|4632415L05Rik	3
ENSMUSG00000104031.1|Gm17771	1
ENSMUSG00000027630.13|Tbl1xr1	1
